"ASIN","Brand","Category","SalesRank"
"B0000C2228","","Toys & Games,Games & Accessories,Card Games,Collectible Card Games,Singles","0"
"B00LP8IYJA","JM4 series Dragon Ball Heroes","","0"
"B08HJ86Y8T","Pokemon","Toys & Games,Games & Accessories,Card Games,Collectible Card Games,Booster Packs","141205"
"B08GZ7MWFV","Pokemon","","7798"
"B07CPCYFWK","バンダイ(BANDAI)","","366202"
"B005PU03W0","Magic The Gathering","Toys & Games,Games & Accessories,Card Games,Collectible Card Games,Singles","1174739"
"B0062E17LE","Pokemon","Toys & Games,Games & Accessories,Card Games,Collectible Card Games,Singles","265925"
"B003YORNFO","Konami","Toys & Games,Games & Accessories,Card Games,Collectible Card Games,Singles","768241"
"B00IK7O2BI","Konami","Toys & Games,Games & Accessories,Card Games,Collectible Card Games","1915698"
"B0044JYRL6","Konami","Toys & Games,Games & Accessories,Card Games,Collectible Card Games,Singles","1909302"
"B07P6MZPK3","Mattel Games","Toys & Games,Games & Accessories,Card Games,Dedicated Deck Card Games","13"
"B001CJVTLC","Pokemon","Toys & Games,Games & Accessories,Card Games,Collectible Card Games,Decks & Sets","23"
"B076PRWVFG","Kids Against Maturity","","75"
"B004S8F7QM","Cards Against Humanity LLC.","","36"
"B000J3Z7TC","Hoyle","Toys & Games,Games & Accessories,Card Games,Standard Playing Card Decks","72"
"B00NQQTZCO","Monopoly","Toys & Games,Games & Accessories,Card Games,Standard Playing Card Decks","67"
"B00000IV35","SET Enterprises","","0"
"B08W4QXK6Q","PRO SUPPORT TRADING CARD ACCESSORIES","Toys & Games,Games & Accessories,Card Games,Collectible Card Games,Decks & Sets","138"
"B010TQY7A8","Exploding Kittens LLC","","26"
"B07RMJ8SG6","Skillmatics","Toys & Games,Games & Accessories,Card Games","87"
"B074RCV4HQ","Mattel Games","Toys & Games,Games & Accessories,Card Games,Collectible Card Games,Decks & Sets","204"
"B07TS96J7Q","Exploding Kittens LLC","Toys & Games,Games & Accessories,Card Games,Collectible Card Games,Decks & Sets","262"
"B08W2MSBGS","PRO SUPPORT TRADING CARD ACCESSORIES","Toys & Games,Games & Accessories,Card Games,Collectible Card Games,Decks & Sets","789"
"B005GLISE8","Bicycle","Toys & Games,Games & Accessories,Card Games,Standard Playing Card Decks","159"
"B077Z1R28P","Taco Cat Goat Cheese Pizza","Toys & Games,Games & Accessories,Card Games,Dedicated Deck Card Games","463"
"B00127UYRE","Hoyle","Toys & Games,Games & Accessories,Card Games","256"
"B071G7Y3XL","LotFancy","Toys & Games,Games & Accessories,Card Games,Standard Playing Card Decks","307"
"B0000205XI","Mattel Games","Toys & Games,Games & Accessories,Card Games,Standard Playing Card Decks","260"
"B078RDNFSC","OUR MOMENTS","Toys & Games,Games & Accessories,Card Games","444"
"B06XZ9K244","Magilano","Toys & Games,Games & Accessories,Card Games,Standard Playing Card Decks","249"
"B01JKD4HYC","Secret Hitler","","410"
"B07JZTBV9C","Taco vs Burrito","","361"
"B01ARGC2VQ","Mattel Games","Toys & Games,Games & Accessories,Card Games,Dedicated Deck Card Games","483"
"B0021JL0ZM","Bicycle","Toys & Games,Games & Accessories,Card Games,Standard Playing Card Decks","37"
"B08DR62S4D","ポケモン(Pokemon)","Toys & Games,Games & Accessories,Card Games","95131"
"B07T1BSKBT","%E3%83%8E%E3%83%BC%E3%83%96%E3%83%A9%E3%83%B3%E3%83%89%E5%93%81","Toys & Games,Games & Accessories,Card Games,Standard Playing Card Decks","964421"
"B08RJ24XR5","ブシロード(BUSHIROAD)","","0"
"B002NXHWE4","Pokemon","","170352"
"B005PQVRCE","Magic The Gathering","Toys & Games,Games & Accessories,Card Games","1771128"
"B07TZ831GC","Bushiroad","Toys & Games,Games & Accessories,Card Games,Collectible Card Games,Booster Packs","530005"
"B08DCWF5FR","Magic: The Gathering Singles","Toys & Games,Games & Accessories,Card Games,Collectible Card Games,Singles","504893"
"B00KS3RFBG","Konami","Toys & Games,Games & Accessories,Card Games,Collectible Card Games,Decks & Sets","817832"
"B0746J3CNN","BANDAI NAMCO Entertainment","Toys & Games,Collectible Toys,Collectible Display & Storage,Card Storage & Display,Cases","884070"
"B08Z7P83RR","ZHYUHECOS","Toys & Games,Games & Accessories,Card Games,Standard Playing Card Decks","0"
"B073X6KQP3","","Toys & Games,Games & Accessories,Card Games,Standard Playing Card Decks","0"
"B000VD3FIU","Philos","Toys & Games,Games & Accessories,Game Accessories,Standard Game Dice","0"
"B084JCJPP6","Fantasy Flight Games","Toys & Games,Games & Accessories,Card Games,Dedicated Deck Card Games","116079"
"B00BLBUDR2","Konami","","1622607"
"B001IKI418","Ultra Pro","","892422"
"B00AAQL0US","Konami","Toys & Games,Games & Accessories,Card Games,Collectible Card Games,Singles","1518499"
"B07GY29XSW","MTG Decks & More","","911155"
"B00IU7W486","Wizards of the Coast","Toys & Games,Games & Accessories,Card Games,Collectible Card Games,Decks & Sets","375014"
"B000HSVUGS","Pokemon","Toys & Games,Games & Accessories,Card Games,Collectible Card Games","49880"
