"ASIN","Brand","Category","SalesRank"
"B008FD8ETS","Hasbro Gaming","Toys & Games,Games & Accessories,Board Games","1060"
"B00486ZVC4","Educational Insights","Toys & Games,Games & Accessories,Board Games","881"
"B00D8STBHY","Hasbro Gaming","Toys & Games,Games & Accessories,Board Games","66"
"B0778TY7XP","Hygge Games","Toys & Games,Games & Accessories,Board Games","256"
"B08GD242TJ","Hasbro Gaming","Toys & Games,Games & Accessories,Board Games","153"
"B00000DMF5","Hasbro","Toys & Games,Games & Accessories,Board Games","161"
"B01MU9K3XU","Monopoly","Toys & Games,Games & Accessories,Board Games","221"
"B076HK9H7Z","Hasbro Gaming","Toys & Games,Games & Accessories,Board Games","199"
"B084BMX47Q","Spin Master Games","Toys & Games,Games & Accessories,Board Games","146"
"B014Q1XX9S","Czech Games","Toys & Games,Games & Accessories,Board Games","265"
"B00U26V4VQ","Catan Studio","Toys & Games,Games & Accessories,Board Games","349"
"B01256V578","Chess Armory","Toys & Games,Games & Accessories,Board Games","393"
"B00IL5XY9K","Hasbro Gaming","Toys & Games,Games & Accessories,Board Games","413"
"B01DY818JG","Think Fun","Toys & Games,Games & Accessories,Board Games","120"
"B00D7OAOYI","Hasbro","Toys & Games,Games & Accessories,Board Games","335"
"B00000IVAK","Jax","Toys & Games,Games & Accessories,Board Games","447"
"B00C0ULS3G","Hasbro Gaming","Toys & Games,Games & Accessories,Board Games","402"
"B008J87PVC","Hasbro Gaming","Toys & Games,Games & Accessories,Board Games","503"
"B07KQK6MWS","Point Games","Toys & Games,Games & Accessories,Board Games","3306"
"B00N4ONUBA","Hasbro Gaming","Toys & Games,Games & Accessories,Board Games","2451"
"B01NALEP04","Hasbro Gaming","Toys & Games,Games & Accessories,Board Games","3137"
"B0788XV9JM","Peaceable Kingdom","Toys & Games,Games & Accessories,Board Games","2879"
"B00NQQTXU8","Hasbro Gaming","Toys & Games,Games & Accessories,Board Games","2473"
"B00WADKDES","The Noble Collection","Toys & Games,Games & Accessories,Board Games","3388"
"B007B7LTE6","Wonder Forge","Toys & Games,Games & Accessories,Board Games","3240"
"B08VQD7XVZ","Ravensburger","Toys & Games,Games & Accessories,Board Games","3265"
"B072J234ZF","Czech Games","Toys & Games,Games & Accessories,Board Games","2140"
"B00D8VHJKC","Hasbro Gaming","Toys & Games,Games & Accessories,Board Games","3543"
"B00NX627HW","Z-Man Games","Toys & Games,Games & Accessories,Board Games","3497"
"B000079XVF","Jax","Toys & Games,Games & Accessories,Board Games","2616"
"B00CPGZ9E4","Hasbro Gaming","Toys & Games,Games & Accessories,Board Games","3237"
"B000809OAO","Days of Wonder","Toys & Games,Games & Accessories,Board Games","2772"
"B07SXMTSZ7","University Games","Toys & Games,Games & Accessories,Board Games","4950"
"B01MXWTYLF","Spin Master","Toys & Games,Games & Accessories,Board Games","3041"
"B08B8VZZRG","#CultureTags","Toys & Games,Games & Accessories,Board Games","2373"
"B083KFHKZR","Gentle Monster","Toys & Games,Games & Accessories,Board Games","3711"
"B086N314TX","Big Potato","Toys & Games,Games & Accessories,Board Games","3169"
"B08DRQRBVH","Hasbro Gaming","Toys & Games,Games & Accessories,Board Games","3611"
"B00BYD5JMG","Wonder Forge","Toys & Games,Games & Accessories,Board Games","633"
"B007N0KZ64","CATAN","Toys & Games,Games & Accessories,Board Games","3364"
"B07PXSJMHF","Ravensburger","Toys & Games,Games & Accessories,Board Games","3049"
"B00000J0JF","Ravensburger","Toys & Games,Games & Accessories,Board Games","1919"
"B07RTZBP93","Hasbro Gaming","Toys & Games,Games & Accessories,Board Games","4335"
"B00000IV4A","Jax","Toys & Games,Games & Accessories,Board Games","2720"
"B00CXEXSUU","Hasbro Gaming","Toys & Games,Games & Accessories,Board Games","3493"
"B00U26V4S4","Catan Studio","Toys & Games,Games & Accessories,Board Games","4059"
