,ASIN,Brand,Category,SalesRank,BrandURL
42179,B01BJVK6P2,Pom Joy Fun,"Handmade Products,Stationery & Party Supplies,Party Supplies,Decorations",626646,https://www.amazon.com/s?rh=n%3A11260432011%2Cp_89%3APom+Joy+Fun
49961,B07RJKJ9V1,SHIZING,"Handmade Products,Jewelry,Rings,Statement",627161,https://www.amazon.com/s?rh=n%3A11260432011%2Cp_89%3ASHIZING
43912,B082LSZMQQ,Pieces of Light emannyb,"Handmade Products,Jewelry,Necklaces",629448,https://www.amazon.com/s?rh=n%3A11260432011%2Cp_89%3APieces+of+Light+emannyb
44126,B072N84JYL,DankoHandmade,"Handmade Products,Home & Kitchen,Home Décor,Decorative Accessories,Plates",629544,https://www.amazon.com/s?rh=n%3A11260432011%2Cp_89%3ADankoHandmade
43967,B07T6TQQ2L,christystudio,"Handmade Products,Clothing, Shoes & Accessories,Handbags & Shoulder Bags,Backpack Handbags",633515,https://www.amazon.com/s?rh=n%3A11260432011%2Cp_89%3Achristystudio
3276,B01MDU3QHO,Broadwick Fibers,"Handmade Products,Clothing, Shoes & Accessories,Women,Accessories,Scarves & Wraps,Scarves",633572,https://www.amazon.com/s?rh=n%3A11260432011%2Cp_89%3ABroadwick+Fibers
3028,B06XT7CS3P,Claudia Lira Joyas,"Handmade Products,Handmade Wedding,Jewelry & Jewelry Accessories,Bracelets,Cuffs",635522,https://www.amazon.com/s?rh=n%3A11260432011%2Cp_89%3AClaudia+Lira+Joyas
2536,B0777STX34,Jungle Tribe,"Handmade Products,Clothing, Shoes & Accessories,Handbags & Shoulder Bags,Backpack Handbags",637899,https://www.amazon.com/s?rh=n%3A11260432011%2Cp_89%3AJungle+Tribe
42329,B06XTFMPPV,Pete And Veronica's,"Handmade Products,Home & Kitchen,Home Décor,Decorative Accessories,Sculptures",649180,https://www.amazon.com/s?rh=n%3A11260432011%2Cp_89%3APete+And+Veronica's
3291,B07G5QXWF3,All Designs That Shine,"Handmade Products,Stationery & Party Supplies,Party Supplies,Decorations",653305,https://www.amazon.com/s?rh=n%3A11260432011%2Cp_89%3AAll+Designs+That+Shine
42596,B07FS7QV3R,stuff made from stuff,"Handmade Products,Home & Kitchen,Home Décor,Clocks",660393,https://www.amazon.com/s?rh=n%3A11260432011%2Cp_89%3Astuff+made+from+stuff
50183,B016JZFI2E,Moxie and Oliver,"Handmade Products,Home & Kitchen,Home Décor,Photo Albums & Frames,Photo Albums",660946,https://www.amazon.com/s?rh=n%3A11260432011%2Cp_89%3AMoxie+and+Oliver
45184,B072K6JH3Q,Pinnery,"Handmade Products,Home & Kitchen,Storage & Organization,Racks & Shelves",663980,https://www.amazon.com/s?rh=n%3A11260432011%2Cp_89%3APinnery
1482,B07CWRNS8D,Yifat Bareket,Handmade,664620,https://www.amazon.com/s?rh=n%3A11260432011%2Cp_89%3AYifat+Bareket
703,B07KRLGWYL,FILUM Art- oaxaca Filigree,"Handmade Products,Jewelry,Earrings,Drop & Dangle",666874,https://www.amazon.com/s?rh=n%3A11260432011%2Cp_89%3AFILUM+Art-+oaxaca+Filigree
42534,B07DRP8XZM,Sweet Home from Wood,"Handmade Products,Home & Kitchen,Home Décor,Curtains, Blinds & Shutters",669094,https://www.amazon.com/s?rh=n%3A11260432011%2Cp_89%3ASweet+Home+from+Wood
50285,B07JQH4ZWV,Camera Harness,"Handmade Products,Electronics Accessories,Camera & Photo Accessories",677035,https://www.amazon.com/s?rh=n%3A11260432011%2Cp_89%3ACamera+Harness
759,B07MSJTYNR,Wooden Head,Handmade,680701,https://www.amazon.com/s?rh=n%3A11260432011%2Cp_89%3AWooden+Head
44690,B07Z9CVQS2,Decor No:3,"Handmade Products,Home & Kitchen,Lighting,Lamps,Desk Lamps",690972,https://www.amazon.com/s?rh=n%3A11260432011%2Cp_89%3ADecor+No:3
42548,B074CGQ899,Honey Willow,Handmade,691761,https://www.amazon.com/s?rh=n%3A11260432011%2Cp_89%3AHoney+Willow
3198,B07L8MDSQJ,Art of Will Pigg,"Handmade Products,Home & Kitchen,Artwork,Mixed Media",694856,https://www.amazon.com/s?rh=n%3A11260432011%2Cp_89%3AArt+of+Will+Pigg
42500,B07CZMGFSX,Huiyi Tan,Handmade,699435,https://www.amazon.com/s?rh=n%3A11260432011%2Cp_89%3AHuiyi+Tan
3296,B01BJMCKNM,Wishgiving,"Handmade Products,Jewelry,Necklaces",705509,https://www.amazon.com/s?rh=n%3A11260432011%2Cp_89%3AWishgiving
49892,B07FPWVZCX,JustinGrayDesigns,"Handmade Products,Home & Kitchen,Patio, Lawn & Garden,Backyard Birding",713748,https://www.amazon.com/s?rh=n%3A11260432011%2Cp_89%3AJustinGrayDesigns
525,B01NBQVYTJ,Blue Lotus Designs,"Handmade Products,Home & Kitchen,Home Décor,Decorative Accessories,Mobiles",716375,https://www.amazon.com/s?rh=n%3A11260432011%2Cp_89%3ABlue+Lotus+Designs
578,B07FW8DV45,MUZA,"Handmade Products,Clothing, Shoes & Accessories,Women,Clothing",722427,https://www.amazon.com/s?rh=n%3A11260432011%2Cp_89%3AMUZA
1912,B07RGXKVJ9,Amy Kahn Russell,"Handmade Products,Jewelry,Earrings,Stud",722901,https://www.amazon.com/s?rh=n%3A11260432011%2Cp_89%3AAmy+Kahn+Russell
50318,B016Q9OMZW,Nicofilimon High Jewelry Artist,"Handmade Products,Jewelry,Rings,Statement",723140,https://www.amazon.com/s?rh=n%3A11260432011%2Cp_89%3ANicofilimon+High+Jewelry+Artist
42505,B07CTMQKHV,Masterwooden,Handmade,727864,https://www.amazon.com/s?rh=n%3A11260432011%2Cp_89%3AMasterwooden
1292,B01BLLLP4G,SuperiorCustomLinens,"Handmade Products,Home & Kitchen,Bedding,Sheets & Pillowcases",727942,https://www.amazon.com/s?rh=n%3A11260432011%2Cp_89%3ASuperiorCustomLinens
50314,B01AMYUQSO,The Dusty Raven,"Handmade Products,Home & Kitchen,Home Décor,Signs & Plaques",738144,https://www.amazon.com/s?rh=n%3A11260432011%2Cp_89%3AThe+Dusty+Raven
42374,B01LB43DZ2,Jack&Lady,"Handmade Products,Jewelry,Rings,Band",751325,https://www.amazon.com/s?rh=n%3A11260432011%2Cp_89%3AJack&Lady
42320,B06Y6DWM32,WoodenStuff,"Handmade Products,Home & Kitchen,Home Décor,Clocks",773291,https://www.amazon.com/s?rh=n%3A11260432011%2Cp_89%3AWoodenStuff
50381,B079HZBB6K,ArtStudio17,"Handmade Products,Jewelry,Necklaces,Pendant",774270,https://www.amazon.com/s?rh=n%3A11260432011%2Cp_89%3AArtStudio17
51622,B07KWZ5ZSB,DAPERIS,"Handmade Products,Jewelry,Rings,Stacking",775228,https://www.amazon.com/s?rh=n%3A11260432011%2Cp_89%3ADAPERIS
3239,B07CTH9V2V,StylishBrideAccs,Handmade,778358,https://www.amazon.com/s?rh=n%3A11260432011%2Cp_89%3AStylishBrideAccs
1269,B01N766Z8S,Tram 21,"Handmade Products,Clothing, Shoes & Accessories,Handbags & Shoulder Bags,Backpack Handbags",779874,https://www.amazon.com/s?rh=n%3A11260432011%2Cp_89%3ATram+21
3364,B07KQQ5TNW,sawthatrock,"Handmade Products,Jewelry,Necklaces",797806,https://www.amazon.com/s?rh=n%3A11260432011%2Cp_89%3Asawthatrock
42382,B01E9G5578,Farrow Co.,"Handmade Products,Clothing, Shoes & Accessories,Luggage & Travel Gear,Wallets & Bag Accessories",805176,https://www.amazon.com/s?rh=n%3A11260432011%2Cp_89%3AFarrow+Co.
630,B01CW9KIZI,NuritDesignJewelry,"Handmade Products,Jewelry,Necklaces,Pendant",805313,https://www.amazon.com/s?rh=n%3A11260432011%2Cp_89%3ANuritDesignJewelry
3437,B07KSTGZCL,Metal Studio Jewelry,"Handmade Products,Jewelry,Necklaces,Pendant",810738,https://www.amazon.com/s?rh=n%3A11260432011%2Cp_89%3AMetal+Studio+Jewelry
1234,B01I0C9EJW,Meirov Evgenia,"Handmade Products,Jewelry,Rings,Statement",811809,https://www.amazon.com/s?rh=n%3A11260432011%2Cp_89%3AMeirov+Evgenia
682,B07M8YVF1R,MineGift,"Handmade Products,Stationery & Party Supplies,Stationery",812486,https://www.amazon.com/s?rh=n%3A11260432011%2Cp_89%3AMineGift
42389,B01B5HA7K4,Romas Banaitis Handmade Custom Titanium Rings,"Handmade Products,Jewelry,Rings,Wedding & Engagement,Wedding",815253,https://www.amazon.com/s?rh=n%3A11260432011%2Cp_89%3ARomas+Banaitis+Handmade+Custom+Titanium+Rings
1485,B079WN52K9,ArgamanDesigns,Handmade,820534,https://www.amazon.com/s?rh=n%3A11260432011%2Cp_89%3AArgamanDesigns
