,ASIN,Brand,Category,SalesRank,BrandURL
234,B08GL717V8,Swetcurly,"Beauty & Personal Care,Hair Care,Extensions, Wigs & Accessories,Wigs",41297,https://www.amazon.com/s?rh=n%3A3760911%2Cp_89%3ASwetcurly
287,B08CKJT361,Ovitus,"Beauty & Personal Care,Foot, Hand & Nail Care,Tools & Accessories,Foot Baths & Spas",43591,https://www.amazon.com/s?rh=n%3A3760911%2Cp_89%3AOvitus
102,B085Q1QM6R,QUINLUX WIGS,"Beauty & Personal Care,Hair Care,Extensions, Wigs & Accessories,Wigs",43744,https://www.amazon.com/s?rh=n%3A3760911%2Cp_89%3AQUINLUX+WIGS
163,B07MFP5L1X,ISEE,"Beauty & Personal Care,Hair Care,Extensions, Wigs & Accessories,Wigs",44330,https://www.amazon.com/s?rh=n%3A3760911%2Cp_89%3AISEE
97,B0084YBY6S,Christian Dior,"Beauty & Personal Care,Fragrance,Women's,Eau de Parfum",44950,https://www.amazon.com/s?rh=n%3A3760911%2Cp_89%3AChristian+Dior
231,B08QVCJWHZ,JARAMA,"Beauty & Personal Care,Hair Care,Extensions, Wigs & Accessories,Hair Extensions",45382,https://www.amazon.com/s?rh=n%3A3760911%2Cp_89%3AJARAMA
108,B07TQ5XXX5,BEAUFOX,"Beauty & Personal Care,Hair Care,Extensions, Wigs & Accessories,Wigs",45392,https://www.amazon.com/s?rh=n%3A3760911%2Cp_89%3ABEAUFOX
204,B01KZM7W9O,Flady,"Beauty & Personal Care,Hair Care,Extensions, Wigs & Accessories,Hair Extensions",47358,https://www.amazon.com/s?rh=n%3A3760911%2Cp_89%3AFlady
273,B06Y29W677,Project E Beauty,"Beauty & Personal Care,Skin Care,Face,Treatments & Masks,Masks",47519,https://www.amazon.com/s?rh=n%3A3760911%2Cp_89%3AProject+E+Beauty
121,B00O3NFAZK,Zadro,"Beauty & Personal Care,Tools & Accessories,Mirrors,Makeup Mirrors",48678,https://www.amazon.com/s?rh=n%3A3760911%2Cp_89%3AZadro
271,B08Q7ZJ4TK,Eastmagic,"Beauty & Personal Care,Tools & Accessories,Skin Care Tools,Facial Steamers",48715,https://www.amazon.com/s?rh=n%3A3760911%2Cp_89%3AEastmagic
31,B085W6HL64,Zhuoqi hair,"Beauty & Personal Care,Hair Care,Extensions, Wigs & Accessories,Hair Extensions",49773,https://www.amazon.com/s?rh=n%3A3760911%2Cp_89%3AZhuoqi+hair
237,B08LGFSK5L,S-noilite,"Beauty & Personal Care,Hair Care,Extensions, Wigs & Accessories,Hair Extensions",49970,https://www.amazon.com/s?rh=n%3A3760911%2Cp_89%3AS-noilite
268,B06WRX54YG,Epionce,"Beauty & Personal Care,Skin Care,Face,Treatments & Masks,Serums",52300,https://www.amazon.com/s?rh=n%3A3760911%2Cp_89%3AEpionce
119,B009S7H0UE,Erno Laszlo,"Beauty & Personal Care,Skin Care,Face,Creams & Moisturizers,Face Moisturizers",52896,https://www.amazon.com/s?rh=n%3A3760911%2Cp_89%3AErno+Laszlo
50,B007NSSCCA,RODAN %2B FIELDS,"Beauty & Personal Care,Skin Care,Face,Polishes & Scrubs,Scrubs",52994,https://www.amazon.com/s?rh=n%3A3760911%2Cp_89%3ARODAN+%2B+FIELDS
289,B007RBKOEM,INFRASHINE,"Beauty & Personal Care,Hair Care,Styling Tools & Appliances,Irons,Straighteners",55125,https://www.amazon.com/s?rh=n%3A3760911%2Cp_89%3AINFRASHINE
96,B07ZNM6TW1,Dr. Pen,"Beauty & Personal Care,Skin Care,Sets & Kits",56571,https://www.amazon.com/s?rh=n%3A3760911%2Cp_89%3ADr.+Pen
7,B085PXCF2Z,ouchuang,"Beauty & Personal Care,Hair Care,Extensions, Wigs & Accessories,Wigs",58770,https://www.amazon.com/s?rh=n%3A3760911%2Cp_89%3Aouchuang
192,B00KH5TB1C,Victoria%27s Secret,"Beauty & Personal Care,Fragrance,Women's,Eau de Parfum",58911,https://www.amazon.com/s?rh=n%3A3760911%2Cp_89%3AVictoria%27s+Secret
286,B01K42G4Z8,Kiehl%27s,"Beauty & Personal Care,Skin Care,Body,Moisturizers,Lotions",59736,https://www.amazon.com/s?rh=n%3A3760911%2Cp_89%3AKiehl%27s
76,B08N1DXS37,HOT STAR,"Beauty & Personal Care,Hair Care,Extensions, Wigs & Accessories,Wigs",60562,https://www.amazon.com/s?rh=n%3A3760911%2Cp_89%3AHOT+STAR
109,B004NEDTUM,RUSK,"Beauty & Personal Care,Hair Care,Styling Tools & Appliances,Hair Dryers & Accessories",60687,https://www.amazon.com/s?rh=n%3A3760911%2Cp_89%3ARUSK
77,B07SW91N8D,Perma Blend,"Beauty & Personal Care,Personal Care,Piercing & Tattoo Supplies,Tattoo Supplies,Tattoo Inks",61553,https://www.amazon.com/s?rh=n%3A3760911%2Cp_89%3APerma+Blend
283,B06XDGQYS9,Thierry Mugler,"Beauty & Personal Care,Fragrance,Women's,Eau de Parfum",61576,https://www.amazon.com/s?rh=n%3A3760911%2Cp_89%3AThierry+Mugler
281,B087QT2KVM,Intensive Care,"Beauty & Personal Care,Hair Care,Hair Loss Products,Hair Regrowth Treatments",62852,https://www.amazon.com/s?rh=n%3A3760911%2Cp_89%3AIntensive+Care
111,B08RBW8VYY,Pro Barber,"Beauty & Personal Care,Shave & Hair Removal,Men's,Shaving Accessories,Hot Lather Machines",63154,https://www.amazon.com/s?rh=n%3A3760911%2Cp_89%3APro+Barber
288,B08MKYS2YN,Craftronic,"Beauty & Personal Care,Skin Care,Face,Treatments & Masks,Masks",64269,https://www.amazon.com/s?rh=n%3A3760911%2Cp_89%3ACraftronic
115,B08FHR95LR,Lecaung,"Beauty & Personal Care,Foot, Hand & Nail Care,Tools & Accessories,Foot Baths & Spas",65882,https://www.amazon.com/s?rh=n%3A3760911%2Cp_89%3ALecaung
164,B0842NYXY7,Allove,"Beauty & Personal Care,Hair Care,Extensions, Wigs & Accessories,Wigs",65922,https://www.amazon.com/s?rh=n%3A3760911%2Cp_89%3AAllove
106,B085C7YLWM,Veicomtech,"Beauty & Personal Care,Foot, Hand & Nail Care,Tools & Accessories,Foot Baths & Spas",68241,https://www.amazon.com/s?rh=n%3A3760911%2Cp_89%3AVeicomtech
310,B074R9LT8V,Angie Queen,"Beauty & Personal Care,Hair Care,Extensions, Wigs & Accessories,Hair Extensions",72048,https://www.amazon.com/s?rh=n%3A3760911%2Cp_89%3AAngie+Queen
210,B01D0SG2T6,Nourkrin,"Beauty & Personal Care,Personal Care,Bath & Bathing Accessories,Bath",72094,https://www.amazon.com/s?rh=n%3A3760911%2Cp_89%3ANourkrin
21,B07DFBDR4C,FasciaBlaster,"Beauty & Personal Care,Personal Care,Bath & Bathing Accessories,Bathing Accessories",72151,https://www.amazon.com/s?rh=n%3A3760911%2Cp_89%3AFasciaBlaster
8,B08S3FGC47,BayLene Hair,"Beauty & Personal Care,Hair Care,Extensions, Wigs & Accessories,Wigs",75028,https://www.amazon.com/s?rh=n%3A3760911%2Cp_89%3ABayLene+Hair
46,B08LH4R1RL,AYIYI,"Beauty & Personal Care,Hair Care,Extensions, Wigs & Accessories,Wigs",75710,https://www.amazon.com/s?rh=n%3A3760911%2Cp_89%3AAYIYI
38,B074NZYYPX,Fine Plus,"Beauty & Personal Care,Hair Care,Extensions, Wigs & Accessories,Wigs",77930,https://www.amazon.com/s?rh=n%3A3760911%2Cp_89%3AFine+Plus
93,B0016G70GY,Clean + Easy,"Beauty & Personal Care,Shave & Hair Removal,Women's,Waxing,Waxing Kits",78424,https://www.amazon.com/s?rh=n%3A3760911%2Cp_89%3AClean+++Easy
131,B083JX2V32,LUXFURNI,"Beauty & Personal Care,Tools & Accessories,Mirrors,Makeup Mirrors",78892,https://www.amazon.com/s?rh=n%3A3760911%2Cp_89%3ALUXFURNI
168,B010W0EHK6,KEVIN MURPHY,"Beauty & Personal Care,Hair Care,Shampoo & Conditioner,Shampoo & Conditioner Sets",79511,https://www.amazon.com/s?rh=n%3A3760911%2Cp_89%3AKEVIN+MURPHY
207,B0058O3WU8,SKINCEUTICALS,"Beauty & Personal Care,Skin Care,Face,Treatments & Masks",81007,https://www.amazon.com/s?rh=n%3A3760911%2Cp_89%3ASKINCEUTICALS
172,B003ZK4UOO,Aveda,"Beauty & Personal Care,Hair Care,Shampoo & Conditioner,Shampoo & Conditioner Sets",81496,https://www.amazon.com/s?rh=n%3A3760911%2Cp_89%3AAveda
214,B08V18VCSL,USUCHBEAUTY,"Beauty & Personal Care,Hair Care,Extensions, Wigs & Accessories,Wigs",83348,https://www.amazon.com/s?rh=n%3A3760911%2Cp_89%3AUSUCHBEAUTY
125,B00D14EJCC,Zupishi,"Beauty & Personal Care,Skin Care,Face,Creams & Moisturizers,Night Creams",83930,https://www.amazon.com/s?rh=n%3A3760911%2Cp_89%3AZupishi
103,B0090XOFD6,SISLEY,"Beauty & Personal Care,Skin Care,Body,Moisturizers,Lotions",86554,https://www.amazon.com/s?rh=n%3A3760911%2Cp_89%3ASISLEY
112,B08RRRVWLD,CLARFY,"Beauty & Personal Care,Tools & Accessories,Mirrors,Makeup Mirrors",86868,https://www.amazon.com/s?rh=n%3A3760911%2Cp_89%3ACLARFY
116,B071WXKTJ8,Revision Skincare,"Beauty & Personal Care,Skin Care,Face,Treatments & Masks,Serums",88057,https://www.amazon.com/s?rh=n%3A3760911%2Cp_89%3ARevision+Skincare
98,B079RKS1L4,MAXIUS,"Beauty & Personal Care,Hair Care,Styling Tools & Appliances,Irons,Straighteners",90540,https://www.amazon.com/s?rh=n%3A3760911%2Cp_89%3AMAXIUS
123,B08SC4DXFX,TOMETC,"Beauty & Personal Care,Skin Care,Face,Treatments & Masks,Masks",91456,https://www.amazon.com/s?rh=n%3A3760911%2Cp_89%3ATOMETC
169,B07RPNX1XY,NEOVA,"Beauty & Personal Care,Skin Care,Face,Creams & Moisturizers,Face Moisturizers",92049,https://www.amazon.com/s?rh=n%3A3760911%2Cp_89%3ANEOVA
57,B08MXQB5ZG,Sam Villa,"Beauty & Personal Care,Hair Care,Styling Tools & Appliances,Irons,Straighteners",92194,https://www.amazon.com/s?rh=n%3A3760911%2Cp_89%3ASam+Villa
79,B07S8FYFR5,Augustinus Bader,"Beauty & Personal Care,Skin Care,Face,Creams & Moisturizers,Face Moisturizers",94235,https://www.amazon.com/s?rh=n%3A3760911%2Cp_89%3AAugustinus+Bader
278,B081K5Z61H,Fancii,"Beauty & Personal Care,Tools & Accessories,Mirrors,Makeup Mirrors",94244,https://www.amazon.com/s?rh=n%3A3760911%2Cp_89%3AFancii
205,B01LN28ZDC,EARTHLITE,"Beauty & Personal Care,Tools & Accessories,Salon & Spa Equipment,Spa Beds & Tables",94331,https://www.amazon.com/s?rh=n%3A3760911%2Cp_89%3AEARTHLITE
48,B0026QXTA4,Acqua Di Parma,"Beauty & Personal Care,Fragrance,Men's,Cologne",94783,https://www.amazon.com/s?rh=n%3A3760911%2Cp_89%3AAcqua+Di+Parma
202,B084GWLRJV,ToothShower,"Beauty & Personal Care,Oral Care,Dental Floss & Picks,Power Dental Flossers",95783,https://www.amazon.com/s?rh=n%3A3760911%2Cp_89%3AToothShower
124,B0782YZ6XN,LANCOME PARIS,"Beauty & Personal Care,Skin Care,Face,Creams & Moisturizers,Face Moisturizers",96945,https://www.amazon.com/s?rh=n%3A3760911%2Cp_89%3ALANCOME+PARIS
235,B092CKCQLX,Yahmgc,"Beauty & Personal Care,Hair Care,Extensions, Wigs & Accessories,Hair Extensions",97605,https://www.amazon.com/s?rh=n%3A3760911%2Cp_89%3AYahmgc
187,B01BI6SQXW,Elemis,"Beauty & Personal Care,Skin Care,Face,Creams & Moisturizers,Night Creams",97994,https://www.amazon.com/s?rh=n%3A3760911%2Cp_89%3AElemis
167,B08T8QNMVH,Flowerseason Hair,"Beauty & Personal Care,Hair Care,Extensions, Wigs & Accessories,Wigs",98330,https://www.amazon.com/s?rh=n%3A3760911%2Cp_89%3AFlowerseason+Hair
68,B08VJ2HCM8,KAFEIER,"Beauty & Personal Care,Hair Care,Extensions, Wigs & Accessories,Wigs",99973,https://www.amazon.com/s?rh=n%3A3760911%2Cp_89%3AKAFEIER
208,B08JCQYWST,MSGEM,"Beauty & Personal Care,Hair Care,Extensions, Wigs & Accessories,Wigs",101225,https://www.amazon.com/s?rh=n%3A3760911%2Cp_89%3AMSGEM
75,B08BTFW19G,WYZworks,"Beauty & Personal Care,Tools & Accessories,Salon & Spa Equipment,Towel Warmers",104665,https://www.amazon.com/s?rh=n%3A3760911%2Cp_89%3AWYZworks
209,B07FNT7YMY,Fatima's Garden,"Beauty & Personal Care,Skin Care,Face,Creams & Moisturizers,Face Oil",105046,https://www.amazon.com/s?rh=n%3A3760911%2Cp_89%3AFatima's+Garden
303,B08LGSYQYS,Derun,"Beauty & Personal Care,Hair Care,Extensions, Wigs & Accessories,Wigs",105541,https://www.amazon.com/s?rh=n%3A3760911%2Cp_89%3ADerun
